20	299007.46301321726  2.0652477292058145e-11  2.0652477292058145e-11  4.558950915674903e-12  3.3582516766028897e-12  3.3582516766028897e-12  2.616066113799197e-12  1.943101493608774e-12  1.943101493608774e-12  8.07380457723791e-13  5.025067553133761e-13  5.025067553133761e-13  2.597579895644504e-13  2.597579895644504e-13  2.932232892169233e-14  2.932232892169233e-14  0.0  -2.5175188186820578e-14  -2.5175188186820578e-14  -4.4777250109880377e-13  -9.519832920911725e-13  -1.5884813602340755e-12  -1.5884813602340755e-12  -3.78786450563475e-12  -9.26253506833612e-12  -2.5566561076522224e-11  -3.95694397200548e-11  -1.0635976467394215e-10
40	297346.5018989783  2.4505762683376146e-11  2.3301670391486396e-11  2.3301670391486396e-11  4.582815203433265e-12  1.3158932174040459e-12  1.3158932174040459e-12  2.2855170737277323e-13  1.4151831075216128e-13  1.4151831075216128e-13  1.3441481771388336e-13  1.3441481771388336e-13  0.0  -2.4222898475429604e-15  -2.4222898475429604e-15  -1.0532336658297001e-13  -1.0532336658297001e-13  -1.2940358839479236e-13  -3.3046847548892093e-13  -7.501718547557666e-13  -7.501718547557666e-13  -1.9496968507573605e-12  -5.792047808751995e-12  -5.792047808751995e-12  -6.022381949808445e-12  -6.022381949808445e-12  -3.12501161982272e-11  -8.737395367992988e-11
60	297491.94361837395  1.1510456803640523e-11  1.1510456803640523e-11  6.061619984341722e-12  2.953186279024787e-12  1.7420345349028482e-12  1.7420345349028482e-12  1.1555677380052357e-12  4.04194524873259e-13  4.04194524873259e-13  2.8986298584002753e-13  2.8986298584002753e-13  8.498345741720835e-14  0.0  -6.213253914476696e-16  -6.213253914476696e-16  -5.087330953725051e-14  -3.2827969934100465e-13  -1.1526269007242757e-12  -1.2180536576761461e-12  -1.2180536576761461e-12  -2.678689636915203e-12  -1.0774021367033664e-11  -1.0774021367033664e-11  -1.660680404939463e-11  -1.660680404939463e-11  -7.097201525050729e-11  -7.224284215614613e-11
80	297941.68040047865  7.085231525036784e-11  2.7332552652908712e-11  9.886404655864644e-12  9.886404655864644e-12  9.524884596398353e-12  3.2308586996199956e-12  3.2308586996199956e-12  9.14431676804677e-13  8.674671868650221e-13  8.674671868650221e-13  1.1200398354097175e-14  1.1200398354097175e-14  0.0  -4.4937938729531504e-14  -4.4937938729531504e-14  -1.8799711073572011e-13  -3.5250899477547445e-13  -3.5250899477547445e-13  -7.412350972785687e-13  -7.412350972785687e-13  -1.162817049526377e-12  -1.1995967358435767e-12  -1.1995967358435767e-12  -3.81075639038547e-12  -1.4233194740004932e-11  -1.886209993335971e-11  -3.022473360058752e-11
100	299137.9286110637  5.6895725821235503e-11  1.888080011978769e-11  1.888080011978769e-11  4.210957090548941e-12  2.815574436561189e-12  1.0360179354441475e-12  1.0360179354441475e-12  7.964838763781238e-13  7.964838763781238e-13  1.703148400492744e-13  1.703148400492744e-13  6.262171584608263e-14  6.262171584608263e-14  2.2005070419272977e-15  0.0  -1.7450282979366794e-13  -1.7450282979366794e-13  -5.933015440232371e-13  -1.6251897300099772e-12  -1.6251897300099772e-12  -2.2057163938417255e-12  -2.2057163938417255e-12  -3.235767497075918e-12  -5.867319139988903e-12  -5.867319139988903e-12  -3.5800213926154184e-11  -1.3670016809328653e-10
120	298969.0060889685  8.331142549956331e-11  1.6639026036418323e-11  5.186912608124594e-12  3.763350304415085e-12  3.763350304415085e-12  1.966898183119501e-12  1.966898183119501e-12  8.177319579362744e-13  8.177319579362744e-13  2.1523728790776457e-13  2.1523728790776457e-13  1.0170770406754912e-13  1.0170770406754912e-13  0.0  -1.6180191813381113e-14  -1.3334940675376513e-13  -5.282175352296531e-13  -5.282175352296531e-13  -1.353325387394902e-12  -1.353325387394902e-12  -1.8185862712955384e-12  -1.8185862712955384e-12  -7.737969517036298e-12  -7.737969517036298e-12  -9.708297623872973e-12  -9.708297623872973e-12  -3.0145276217225766e-11
140	298080.0123575769  6.558410943276984e-11  1.2620550225689647e-11  1.2620550225689647e-11  6.626736439391265e-12  6.626736439391265e-12  1.964560497697441e-12  7.988194331660386e-13  4.1689737711846293e-13  3.059294675042257e-13  0.0  -2.0788060332368542e-14  -4.194871533749207e-14  -4.194871533749207e-14  -1.395316101796469e-13  -1.395316101796469e-13  -2.0959329868118138e-13  -2.0959329868118138e-13  -6.089947582432602e-13  -1.0052585799057179e-12  -1.0052585799057179e-12  -1.2697633713614419e-12  -1.2697633713614419e-12  -5.4034861615057784e-12  -6.883049649034102e-12  -6.883049649034102e-12  -3.356440376809106e-11  -4.204964333867894e-11
160	297774.43327375257  1.407792030159259e-11  1.407792030159259e-11  1.3059057001784243e-11  4.404380412129956e-12  1.8689092162023937e-12  1.8689092162023937e-12  8.085574960013515e-13  5.34782495497632e-13  5.34782495497632e-13  2.466784839840378e-13  2.362145603417239e-13  2.362145603417239e-13  0.0  -3.8131463077100935e-14  -6.811761241077754e-14  -1.6946790085821686e-13  -4.955690401895557e-13  -4.955690401895557e-13  -6.631085878267747e-13  -6.631085878267747e-13  -7.065457225003038e-13  -7.065457225003038e-13  -1.848378263450481e-12  -4.159126325598635e-12  -2.1329147473287315e-11  -2.1329147473287315e-11  -2.2137981607670373e-11
180	297295.8304760138  7.593898681355232e-11  3.897408680094295e-12  3.897408680094295e-12  2.8572250050616643e-12  2.8572250050616643e-12  1.8275628516688873e-12  5.694787727563271e-13  5.694787727563271e-13  2.7931846254804957e-13  2.7931846254804957e-13  2.5079742832159134e-13  2.5079742832159134e-13  7.056168323632404e-14  0.0  -1.2974834200578653e-14  -1.784863534735844e-13  -2.265850648826401e-13  -2.265850648826401e-13  -7.227259057499782e-13  -1.4468055740618597e-12  -3.9138985644884886e-12  -6.901467898641952e-12  -7.126170086540829e-12  -7.126170086540829e-12  -1.1161352196578857e-11  -1.1161352196578857e-11  -5.634671907362401e-11
200	297113.92274017754  4.333121745026256e-11  4.333121745026256e-11  1.1836305281226614e-11  2.9439466317747525e-12  2.9439466317747525e-12  5.102694487635599e-13  3.99061177058473e-13  1.969029719169532e-13  1.969029719169532e-13  1.183424845184286e-14  1.183424845184286e-14  5.422151141750821e-15  0.0  -1.891994933935321e-13  -2.862250709339784e-13  -2.862250709339784e-13  -5.67785121884301e-13  -1.7172620857783933e-12  -1.7172620857783933e-12  -2.3820054083058458e-12  -2.8983516408878262e-12  -4.290139248386281e-12  -4.290139248386281e-12  -6.078711249580823e-12  -6.078711249580823e-12  -2.6621825304003397e-11  -2.6621825304003397e-11
