1	247006.00686082133  3.068167303101144e-08  1.7822962273719995e-09  1.7822962273719995e-09  1.013973296524086e-09  1.013973296524086e-09  2.1468295620239965e-10  2.1468295620239965e-10  1.0680236763226435e-10  1.0680236763226435e-10  5.621388330050957e-11  5.621388330050957e-11  5.098173409729068e-11  5.098173409729068e-11  2.24493353924893e-11  2.24493353924893e-11  2.076470036512657e-11  2.076470036512657e-11  1.4418227549025232e-11  1.4418227549025232e-11  1.0217932504689725e-11  4.1406225525755064e-12  4.1406225525755064e-12  2.905657443105095e-12  2.905657443105095e-12  8.694032469848476e-13  -5.471244689134895e-12  -6.3110947295411366e-12  -6.3110947295411366e-12  -9.790226338005396e-12  -9.790226338005396e-12  -1.651277292776442e-11  -1.651277292776442e-11  -3.647624399524499e-11  -3.647624399524499e-11  -1.3790003089885715e-10  -1.3790003089885715e-10  -1.4239561177977634e-10  -1.4239561177977634e-10  -3.852529013615446e-10  -8.015564532913502e-10  -1.2856663440163415e-09  -1.2856663440163415e-09  -1.4698002836261899e-09  -1.4698002836261899e-09
2	238027.5084661502  6.495588661984351e-09  6.495588661984351e-09  4.121090225654079e-09  1.0693734723020328e-09  1.0693734723020328e-09  2.1913071728550585e-10  2.1913071728550585e-10  1.4436630278092057e-10  1.4436630278092057e-10  1.0620461123614746e-10  1.0620461123614746e-10  7.776038656360329e-11  7.776038656360329e-11  2.0150211105965725e-11  8.920111340124906e-12  8.887494532703783e-12  8.887494532703783e-12  7.575595808780665e-12  7.575595808780665e-12  6.195835459477926e-12  3.537011817616596e-12  7.249561495357519e-13  4.955339780625941e-13  -1.2657385157180521e-13  -2.450346102598349e-13  -1.986883725489685e-12  -2.1286317843088396e-12  -2.1286317843088396e-12  -1.0063346189254796e-11  -1.0627811162272735e-11  -1.0627811162272735e-11  -2.0187167902527858e-11  -2.0187167902527858e-11  -4.230220334078835e-11  -7.997732349721755e-11  -7.997732349721755e-11  -9.472454632261244e-11  -1.4642413991270498e-10  -7.305174304335602e-10  -7.305174304335602e-10  -8.713034489541996e-10  -8.713034489541996e-10  -1.953827089555197e-09  -3.8076984276451444e-09
3	217178.72536246452  4.890735707601077e-09  1.0718559798963023e-09  1.0718559798963023e-09  5.291227697865831e-10  2.578692729018361e-10  2.578692729018361e-10  3.651453809118811e-11  3.651453809118811e-11  2.955641192391681e-11  1.8649021229189642e-11  1.0365991175356217e-11  1.0365991175356217e-11  1.0235431912137174e-11  6.3909464752117675e-12  6.3909464752117675e-12  3.698126893247154e-12  3.698126893247154e-12  1.3537064895168072e-12  7.45697976659821e-13  -8.068045855073994e-14  -8.068045855073994e-14  -3.4253530071721854e-13  -2.115588399114446e-12  -2.115588399114446e-12  -2.8254456875562307e-12  -7.410641324792256e-12  -7.410641324792256e-12  -9.273717153698589e-12  -1.5821302678091885e-11  -1.5821302678091885e-11  -2.184878595960663e-11  -2.6835602278567003e-11  -2.6835602278567003e-11  -6.202374917198445e-11  -8.353972050467173e-11  -8.353972050467173e-11  -9.619273617327716e-11  -2.2628097906605543e-10  -2.2628097906605543e-10  -3.1217938376199176e-10  -3.1217938376199176e-10  -5.338361491365906e-10  -5.338361491365906e-10  -1.7587093869763544e-09
4	190410.74047778777  9.997493861200861e-10  9.997493861200861e-10  4.3110055644114754e-10  1.7042488347952092e-10  1.7042488347952092e-10  6.910720949049703e-11  6.910720949049703e-11  5.702703511713874e-11  5.702703511713874e-11  5.5656785824818014e-11  1.9895434831495068e-11  1.9895434831495068e-11  8.519276083606911e-12  8.519276083606911e-12  3.510599890458121e-12  3.510599890458121e-12  1.3808415714154575e-12  1.3808415714154575e-12  8.298633781813504e-13  1.2365752865955112e-13  4.6822044471955973e-14  4.6822044471955973e-14  -3.3070168641322615e-13  -6.706044109687894e-13  -6.706044109687894e-13  -9.627606349010654e-13  -9.627606349010654e-13  -1.354164676702634e-12  -1.354164676702634e-12  -4.575069346038604e-12  -4.575069346038604e-12  -1.1186511411161164e-11  -1.991144838439112e-11  -2.910371551610733e-11  -2.910371551610733e-11  -4.746416538386169e-11  -4.746416538386169e-11  -6.652493790551332e-11  -1.8989830331481429e-10  -3.9759717807247453e-10  -3.9759717807247453e-10  -5.541412586402179e-10  -5.541412586402179e-10  -7.490133566234255e-10
5	209167.4099997259  1.2835160212764102e-09  3.1443543802763597e-10  3.1443543802763597e-10  2.2975688079154577e-10  2.2975688079154577e-10  8.059619901323415e-11  4.137876814093973e-11  4.137876814093973e-11  3.715104592405372e-11  3.715104592405372e-11  3.570819074215728e-11  3.570819074215728e-11  1.2548431000040826e-11  7.320413944883891e-12  4.547788371601453e-12  3.1593887118888315e-12  2.654481725726423e-12  2.654481725726423e-12  2.2066736179221778e-12  1.7917508187144595e-12  1.7917508187144595e-12  2.6671519527133413e-13  -4.2257974835825234e-14  -4.2257974835825234e-14  -6.038487677544786e-13  -1.6736224014435825e-12  -1.6736224014435825e-12  -1.9864335599549968e-12  -1.9864335599549968e-12  -3.5479691242414105e-12  -1.169802238561322e-11  -2.0670850820777392e-11  -2.0670850820777392e-11  -4.776694120335296e-11  -4.776694120335296e-11  -5.5436803158182615e-11  -5.793177516012421e-11  -5.793177516012421e-11  -1.1119555024505567e-10  -1.1138781073798289e-10  -1.1138781073798289e-10  -3.4785098816350933e-10  -5.317116855649562e-10  -1.3949389399520138e-09
6	210530.50279165304  1.5187305437249065e-09  4.2946177143209207e-10  2.2658965174884116e-10  2.2658965174884116e-10  2.0845653737590355e-10  1.1179803938228209e-10  1.1179803938228209e-10  8.893557941750376e-11  8.632552670772909e-11  5.075574559844004e-11  5.075574559844004e-11  2.6358533625466936e-11  9.404631121502197e-12  6.427714951846747e-12  6.427714951846747e-12  4.722006311115485e-12  2.2955030112648463e-12  2.2955030112648463e-12  1.2517910503809965e-12  1.0116680936630844e-12  1.0116680936630844e-12  1.0163038644258044e-13  -1.8592251852759617e-13  -1.8592251852759617e-13  -9.080613390069478e-13  -9.080613390069478e-13  -1.824883364515985e-12  -1.824883364515985e-12  -3.999054664489367e-12  -3.999054664489367e-12  -6.177748611276238e-12  -1.0000697668223716e-11  -1.0000697668223716e-11  -1.9867260980345582e-11  -1.9867260980345582e-11  -2.95611127595612e-11  -2.95611127595612e-11  -4.799914907872369e-11  -4.799914907872369e-11  -1.7869769516109715e-10  -1.7869769516109715e-10  -2.8361838694145363e-10  -2.8361838694145363e-10  -2.63862063618667e-09
7	208842.86627223104  4.049994213905003e-10  4.049994213905003e-10  2.1927891715251365e-10  1.4668903527263729e-10  1.2968109776215508e-10  1.2968109776215508e-10  7.1860786728301e-11  7.1860786728301e-11  5.4948304569630935e-11  5.4948304569630935e-11  5.433642547417074e-11  4.775771118250447e-11  2.531929538214905e-11  1.6870457948957762e-11  1.1381480625467218e-11  1.132164717586983e-11  1.132164717586983e-11  1.0254699137893779e-11  1.0254699137893779e-11  3.5978942169128516e-12  3.5978942169128516e-12  2.1680461640701209e-13  7.839856646151944e-14  7.839856646151944e-14  -6.770718124560968e-14  -6.770718124560968e-14  -5.625952313896315e-13  -5.625952313896315e-13  -9.583618876827755e-13  -9.583618876827755e-13  -7.839566377788573e-12  -7.839566377788573e-12  -1.4433086982557088e-11  -1.4433086982557088e-11  -1.5297876373620438e-11  -2.8731791590030962e-11  -2.8731791590030962e-11  -7.586757199182589e-11  -7.586757199182589e-11  -1.0791741992626094e-10  -1.0791741992626094e-10  -3.084387954531853e-10  -3.084387954531853e-10  -1.9032483632578584e-09
8	211842.00084358433  3.8576503256424934e-10  2.2398304839959675e-10  2.2398304839959675e-10  1.5710144786031154e-10  1.2994334523299967e-10  8.793121407030102e-11  5.95187552361359e-11  2.3748942852245108e-11  2.3748942852245108e-11  1.3490415853664723e-11  8.94405555721923e-12  8.94405555721923e-12  6.06281559775381e-12  6.06281559775381e-12  5.049843663594358e-12  5.049843663594358e-12  4.971697098091412e-12  4.971697098091412e-12  3.838579303178423e-12  3.838579303178423e-12  6.535141209699402e-13  6.535141209699402e-13  2.38067148733098e-13  -1.904585795701271e-13  -1.904585795701271e-13  -1.975055071423021e-12  -1.975055071423021e-12  -3.284663291971333e-12  -3.284663291971333e-12  -7.430015083038076e-12  -1.2551717839934922e-11  -1.2551717839934922e-11  -1.2805968518485483e-11  -1.2805968518485483e-11  -2.555740391110975e-11  -2.555740391110975e-11  -4.5352559124607077e-11  -4.5352559124607077e-11  -1.0173859297381896e-10  -1.0173859297381896e-10  -1.4128102481477135e-10  -1.4128102481477135e-10  -2.33720949804771e-10  -1.2071383634110693e-09
9	216194.151695444  7.0519338490791e-10  7.0519338490791e-10  3.1156862269472737e-10  2.519561528640272e-10  8.049636293837678e-11  8.049636293837678e-11  3.952094763952768e-11  1.8884701934412853e-11  1.8884701934412853e-11  1.7416215111491774e-11  1.432699197428898e-11  8.575879202369735e-12  9.742198647841779e-13  2.2620236525255349e-13  2.2620236525255349e-13  1.8472266274232218e-13  1.8472266274232218e-13  1.1956209059416942e-13  1.1956209059416942e-13  -7.035522666234728e-14  -1.81632944493577e-13  -1.81632944493577e-13  -1.4350122376007604e-12  -6.541380758278632e-12  -6.541380758278632e-12  -7.349387133548e-12  -8.796051882445964e-12  -8.796051882445964e-12  -1.2484690437020295e-11  -1.2484690437020295e-11  -2.1778880442206356e-11  -2.1778880442206356e-11  -2.3965105175967457e-11  -4.3830847465903105e-11  -4.3830847465903105e-11  -6.068048542461459e-11  -7.757616673127057e-11  -7.757616673127057e-11  -7.775822136437137e-11  -9.897942933155594e-11  -9.897942933155594e-11  -2.2179829702251797e-10  -2.2179829702251797e-10  -1.220169679982434e-09
10	215793.87695070426  5.451555998291112e-10  3.4414649392363753e-10  3.4414649392363753e-10  1.549600454937183e-10  7.680943260714165e-11  4.3095309898676713e-11  4.3095309898676713e-11  2.72351228390957e-11  2.72351228390957e-11  2.454621966484816e-11  1.3645044465194611e-11  1.3645044465194611e-11  8.605252737194874e-12  8.605252737194874e-12  7.324712142519902e-12  7.324712142519902e-12  6.2330209665212895e-12  6.2330209665212895e-12  3.176115002845926e-13  3.176115002845926e-13  -4.643769186926706e-20  -7.044611744546149e-14  -7.044611744546149e-14  -9.81471867353091e-14  -2.2905297861108546e-13  -2.674280409440314e-13  -2.674280409440314e-13  -1.8586330564392875e-12  -1.8586330564392875e-12  -2.3342275009029872e-12  -1.0669223298919655e-11  -1.0669223298919655e-11  -1.7864152700831808e-11  -3.196393624044339e-11  -3.196393624044339e-11  -4.5502123363894635e-11  -4.5502123363894635e-11  -8.470811938678605e-11  -8.470811938678605e-11  -1.3961984824107201e-10  -1.3961984824107201e-10  -1.8031550144140796e-10  -5.599018471117728e-10  -5.599018471117728e-10
