11	0.058911608798183204  0.025303338600714993  -0.04263526060930313  -0.036934843457298666  -0.016139953478066762  0.4670589658281379  -0.21544279171595948  -0.10630038354638274  -0.050395871823454425  0.07840940991878935  0.19236850131247185  -0.13662309543230347  0.010956389409620265  -0.10513929417225473  0.04073003681697264  0.0027468410355612543  0.06110473084373438  -0.15192623106635517  0.2573131448853929  -0.05918371918145748  -0.1720218289324332  0.05841460691643444  0.039728940167549257  -0.012542193077519897  -0.10560634524514421  0.1524696904786499  -0.22546603036907906  0.2218137958367026  0.1045278173962543  0.020087354415272755  -0.27601987710577314  0.07275767028525261  -0.20496999323952855  -0.1661774370312946  0.04009675914469427  0.1677194055480627  -0.026603444267836607  -0.033966219393107705  -0.005120092385014746  0.2103308857958573  0.26929082303993906  -0.11032448146889004  -0.19248711317696338  0.04423427008567228  0.10809456835823482
12	0.05920080915667223  0.025351159375245073  -0.042447335216684305  -0.03721893530146334  -0.016036545185773802  0.46520884320289174  -0.21431198764552667  -0.10528949274826896  -0.05085801091466148  0.07892078595715166  0.1927582916795659  -0.13642556735977882  0.010952831260592329  -0.10132643426723836  0.03821900203097853  -0.0008749869841880041  0.06354909902570337  -0.15218061298224297  0.2574658735622699  -0.059287875995041754  -0.1730289137259775  0.059026930081359515  0.04109787832409975  -0.013562368378136892  -0.10630910587441834  0.15265831394097798  -0.22662060133549083  0.22273052224084336  0.10642858660992227  0.018764259247973033  -0.27688948673831076  0.07268036122188086  -0.20598613334036472  -0.16673027470011986  0.03985321751309028  0.16742714633955613  -0.026350802174302784  -0.033974989842879326  -0.004952100998172098  0.2105453592450597  0.2689132009266741  -0.10969523723722918  -0.19249633177894918  0.04394087715277032  0.10797614489854518
13	0.058769612095379405  0.025325516922784803  -0.04253849582907593  -0.03693692689193164  -0.016174804490005038  0.4674781122701423  -0.215654841315182  -0.10724084921461823  -0.049815594031766344  0.07788762373698166  0.19157697343368763  -0.136509018716224  0.011039968499238792  -0.10547548533173676  0.04107392198588064  0.0055441820549728205  0.05878411188484  -0.1512418140634023  0.2578084262827573  -0.05932179367717223  -0.17266447072773394  0.058623616753040536  0.03862898095943785  -0.01148492560662462  -0.10593579262504203  0.1525909887873523  -0.22503293301783878  0.22154843133296032  0.10372755367877591  0.020796511659832713  -0.2759486120682275  0.07263915525622285  -0.20454000915444653  -0.166610243386798  0.04075272544932766  0.16789450097480166  -0.02664448634231846  -0.03363947573790501  -0.005433464192719429  0.21020018539753996  0.2689846431497351  -0.11104615438610779  -0.19263109435485182  0.04452878229318629  0.10848614225201728
14	0.05865255820694164  0.025299117531314103  -0.04251792818792405  -0.03681814753140738  -0.016215254590275847  0.46747698710676294  -0.21568077006731273  -0.107854736784637  -0.049376658866135334  0.07766085093058424  0.19129551899325214  -0.13717886818857483  0.011272268476464843  -0.10456736115746988  0.04082925509803989  0.007076549544028296  0.057274402650145835  -0.15098666234984662  0.25856778217789195  -0.05949916136136479  -0.17377956736679828  0.059042851928849734  0.03807236209477988  -0.010780445947638247  -0.10605075224361016  0.15261523448866862  -0.22492225317522818  0.22149431637994133  0.10349217592570849  0.020975662549571738  -0.27616685057044327  0.07200304529254097  -0.20412460203726845  -0.16693896667216318  0.04150263845165691  0.1681704868362355  -0.026698302085026136  -0.033379215409046134  -0.005766412424019043  0.2097107646693456  0.2683227651781765  -0.11141313199066215  -0.1924640591094125  0.04461666385321738  0.10867410484892302
15	-0.05892839613115088  -0.025408356937073617  0.04233914339877263  0.03691127650435764  0.01619410441805898  -0.46594573919642274  0.21477827314470757  0.1066937300211446  0.049989891930916464  -0.07812105750024109  -0.19212057338048444  0.13782701866344507  -0.011413494541721275  0.10162083708436564  -0.039003028314561886  -0.003461465907824616  -0.05986699847672844  0.151662591929621  -0.2590116424757578  0.05964393412311568  0.17450957095314093  -0.059431238419305414  -0.03950187539357651  0.01190111189675148  0.10628342116177236  -0.1527121156433691  0.22554451934872224  -0.2219857512653644  -0.10486564961900184  -0.019909598548220737  0.2769906529600833  -0.0717361695145249  0.20470419105554122  0.1669605359326116  -0.04106718449084582  -0.16812397551871797  0.02658709514764112  0.033561880915348265  0.00554016235606243  -0.20972311114769585  -0.2683456718211177  0.11055865201736939  0.19221481773173535  -0.04421972060218993  -0.10810654322986658
16	0.05900481486894301  0.025521725423121464  -0.04206723171350611  -0.0376817218214968  -0.015938272236213007  0.4651134907847671  -0.21402286959084396  -0.10553784342310488  -0.05075959134127818  0.07882628766267386  0.19189018025793958  -0.13627063202775536  0.010892102323399787  -0.09903579062480386  0.03659487182037342  -0.0005289894893523384  0.06287624112007954  -0.15159459534922973  0.25809386785924127  -0.05939755640123793  -0.17514875034355765  0.060166510981098424  0.041052280284596974  -0.013104263642685198  -0.1071737024343934  0.1528390910261261  -0.2265299367575653  0.22298327053176895  0.10651820495267232  0.018572210109650232  -0.27796063627804485  0.0709567829842443  -0.20551966123564605  -0.1668478166814474  0.04071060116397983  0.16818387506101173  -0.026551770984823846  -0.033820070713699794  -0.005388233724087444  0.20995728954819762  0.2682562889327595  -0.10985867890047223  -0.19227795335551168  0.0438884855105717  0.10813768984767826
17	0.059394946076905264  0.025450404951883204  -0.041743438606421705  -0.0384374637877317  -0.0157246388457058  0.4633437482087273  -0.21283544645591088  -0.1041382015134811  -0.05152831136856248  0.07953576367897479  0.19207310227857233  -0.13646498692471795  0.010808705311728036  -0.09429329984489572  0.033584045615895605  -0.0037551888175053768  0.06471312206515017  -0.15198395434288364  0.2588496720530219  -0.059530079071718686  -0.1772633864078383  0.061269379631780134  0.042037363257487935  -0.013542476808083435  -0.10777601551721915  0.15296551806243067  -0.22736303826335064  0.22372123761323048  0.10800167231804238  0.017402264842388913  -0.2793302400044047  0.06959829407044693  -0.20580480127431688  -0.16779925296499637  0.04169174040615357  0.1685020850356756  -0.026535148154748306  -0.03344333415015424  -0.0058223788699882555  0.20948375926000357  0.26762609661007203  -0.10946133810871686  -0.1918723198339087  0.04348050615736345  0.10784009424281941
18	-0.05889383103799188  -0.025448724111026926  0.04188704834991579  0.03807745671018058  0.01587602666988915  -0.46555288221525437  0.21418824726923036  0.1060558989809647  0.05048996888043925  -0.07857737845680388  -0.1909678740660284  0.13596032393499566  -0.010814479422904769  0.0987984864696094  -0.036583147043678904  -0.0016242109416090861  -0.06089400337623636  0.1510348729360075  -0.25854828761248577  0.05945543082171353  0.17605545870798042  -0.06049588358643638  -0.039989644785485244  0.01198176654649205  0.10737126677827429  -0.1528833148381449  0.22654658978440778  -0.22293243795811232  -0.1061803888729509  -0.018967173791848608  0.27807032749956206  -0.07060290241709054  0.2050420668010372  0.16787399511836937  -0.042087369471720835  -0.16835298494584897  0.026596345485003402  0.03317788798923188  0.006018214774808441  -0.2094360211959119  -0.2676332725273244  0.11058327644138037  0.19213372697211117  -0.04405447352728514  -0.10836424109403481
19	0.05950647218512969  0.024950816165814987  -0.04231083130790362  -0.037301428211070194  -0.016116818143448244  0.4650044637004386  -0.21424259895413308  -0.10671872622786324  -0.04980813598948532  0.07860195727420753  0.19187211848866734  -0.13888253497426037  0.011557904904799951  -0.09783126340158091  0.0373734856885948  0.004967406085448105  0.057572460170354375  -0.15183144376321872  0.260915826837178  -0.059967555402170206  -0.17736325757015886  0.06043305982370683  0.038385865139912  -0.010308289808858484  -0.1066042289233247  0.15288144021535566  -0.22591001471815592  0.22224445919710253  0.10557579676394307  0.019441686889224676  -0.2779750015219161  0.07001170567609506  -0.20398335310950672  -0.16969944463950198  0.044608584918205574  0.16852711122578415  -0.02653125262175573  -0.03201024437686058  -0.007050258658090484  0.20802238726264816  0.266412272342771  -0.11143055388396651  -0.1912782997640143  0.044130854169745944  0.10779755448685946
20	0.059606989504082955  0.025105344045486856  -0.042094601950894  -0.03785101794042409  -0.015920584226217064  0.4647788456934693  -0.21390603699767685  -0.10558828434992458  -0.05061845751475144  0.07897865135475352  0.1922454648144536  -0.1382434680329968  0.011150914533571704  -0.09723424630157482  0.036408273074783774  0.0019905627517280778  0.06007881128622091  -0.152167884389306  0.2603368794609849  -0.05977150230655949  -0.17725519979735882  0.06066258081198397  0.03958049129749346  -0.011365185543695117  -0.1066148620380989  0.1528717943005241  -0.22603221512415822  0.22246228116998748  0.10600787409846071  0.01893940498727264  -0.2783941932866714  0.069557469305559  -0.20415971322458806  -0.16884169806127639  0.04374660822383692  0.16876708840927068  -0.026677359570936685  -0.032506539367040906  -0.006713146461847813  0.2083144239387329  0.2672286091342647  -0.11069373833423016  -0.1912373725301551  0.04383494043063035  0.1074434406577285
